"id";"title";"imdb_rating";"year_of_release"
1;"Pulp Fiction";8.9;"1994"
2;"Once Upon a Time in Hollywood";7.6;"2019"
3;"The Hateful Eight";7.8;"2015"
4;"Django Unchained";8.4;"2012"
5;"Gone Girl";8.1;"2014"
6;"Se7en";8.6;"1995"
7;"Zodiac";7.7;"2007"
8;"Goodfellas";8.7;"1990"
9;"Taxi Driver";8.2;"1976"
10;"The Wolf of Wall Street";8.2;"2013"
